user_id,conversion_timestamp,conversion_value,journey_length,first_channel,last_channel
68,2023-04-14 15:48:35.671931,66.12,3,Social,Direct
71,2023-08-19 05:41:23.696393,47.97,5,Content,Paid Search
74,2023-10-23 10:19:24.920677,66.62,3,Paid Search,Email
77,2023-05-20 18:22:36.588470,131.65,2,Content,Direct
78,2023-12-04 21:39:21.783863,32.49,5,Email,Email
79,2023-07-02 11:30:20.890382,54.38,4,Content,Paid Search
80,2023-07-24 18:56:18.228030,191.5,6,Social,Email
81,2023-05-07 12:34:21.642227,110.06,4,Display,Paid Search
82,2023-12-08 03:17:08.983382,57.66,4,Display,Direct
84,2023-05-30 10:12:49.162034,28.15,6,Social,Content
85,2023-11-11 05:56:19.519622,122.5,2,Display,Social
86,2023-06-08 19:08:54.322279,65.68,2,Content,Paid Search
87,2023-12-15 16:24:07.136306,151.32,3,Display,Social
88,2023-06-06 20:00:00.000000,63.49,2,Display,Paid Search
89,2023-05-05 09:54:47.788365,325.37,5,Content,Email
91,2023-08-16 19:25:12.261926,51.75,3,Display,Direct
92,2023-06-14 13:44:07.258745,91.18,3,Display,Paid Search
93,2023-11-25 09:00:00.000000,44.46,1,Email,Email
99,2023-05-14 23:27:59.740901,39.85,8,Content,Paid Search
100,2023-01-18 23:06:07.378404,118.62,3,Content,Social
102,2023-07-14 09:39:34.498266,80.44,3,Display,Content
103,2023-06-21 03:12:47.873799,164.65,4,Display,Paid Search
105,2023-01-28 18:56:58.356046,77.18,2,Email,Paid Search
108,2023-06-08 12:28:44.475682,64.75,4,Social,Paid Search
111,2023-08-19 22:39:09.256120,81.99,5,Email,Content
112,2023-01-13 11:55:22.193137,72.25,4,Display,Display
113,2023-05-23 01:27:00.514621,142.58,3,Paid Search,Content
114,2023-08-29 18:28:59.170675,105.31,3,Display,Paid Search
117,2023-03-05 08:32:37.229184,118.83,3,Email,Content
118,2023-10-01 20:33:03.050787,65.93,5,Social,Paid Search
119,2023-09-29 10:38:59.570107,42.65,2,Content,Paid Search
120,2023-02-05 15:39:02.449386,62.93,5,Direct,Email
127,2023-04-23 14:35:56.642926,117.8,3,Display,Direct
130,2023-06-16 01:32:43.248751,92.2,4,Content,Direct
131,2023-08-27 12:26:31.868747,75.8,8,Content,Direct
135,2023-02-19 10:06:03.781889,195.31,3,Display,Social
136,2023-05-01 13:32:19.037627,40.77,3,Content,Paid Search
137,2023-11-02 12:01:31.692157,131.66,4,Direct,Content
138,2023-04-03 23:00:19.399474,123.48,4,Content,Email
140,2023-01-17 15:20:50.212386,55.18,6,Display,Direct
143,2023-12-23 01:32:37.858611,82.45,4,Paid Search,Paid Search
146,2023-04-11 12:19:19.117812,61.57,3,Display,Paid Search
149,2023-03-14 23:22:48.429789,79.07,5,Display,Email
150,2023-10-06 06:01:00.471089,166.81,3,Paid Search,Email
151,2023-06-28 02:06:17.046145,84.31,4,Social,Display
155,2023-02-10 22:13:21.311268,53.65,3,Content,Social
156,2023-08-26 19:58:33.410341,85.51,4,Display,Direct
157,2023-06-08 06:44:10.469363,88.82,5,Paid Search,Direct
159,2023-06-29 19:46:17.989715,77.57,4,Display,Direct
160,2023-11-30 11:17:00.977461,179.08,3,Display,Paid Search
161,2023-11-15 12:39:55.951149,63.81,3,Content,Display
162,2023-01-09 16:25:51.945290,277.61,3,Direct,Direct
166,2023-06-11 14:37:01.486038,67.31,5,Content,Social
167,2023-09-02 16:04:09.918564,57.53,3,Display,Direct
168,2023-03-01 06:16:07.359926,64.28,7,Social,Paid Search
169,2023-06-14 11:00:00.000000,103.49,1,Content,Content
170,2023-04-22 07:58:47.448837,125.65,5,Display,Email
171,2023-05-29 17:11:29.592866,41.48,3,Content,Direct
172,2023-04-12 20:31:25.807225,67.14,3,Display,Direct
173,2023-02-24 14:55:11.418026,81.55,5,Social,Paid Search
175,2023-10-23 09:22:11.889287,68.93,4,Display,Email
177,2023-11-22 10:55:47.553573,44.54,5,Content,Paid Search
179,2023-11-09 04:07:47.252994,72.29,2,Email,Paid Search
180,2023-08-06 09:07:33.080304,161.28,3,Social,Direct
182,2023-09-15 14:21:56.532628,40.83,5,Paid Search,Social
183,2023-06-24 03:43:37.249356,91.66,3,Direct,Paid Search
184,2023-06-10 02:54:55.402829,67.95,2,Social,Paid Search
185,2023-09-26 13:32:12.605489,66.63,4,Social,Paid Search
187,2023-04-28 02:07:40.574763,88.68,3,Social,Paid Search
188,2023-08-12 07:09:02.339350,82.5,3,Email,Social
189,2023-09-02 04:07:57.138820,129.82,4,Display,Paid Search
191,2023-05-20 15:20:28.681316,48.47,5,Display,Email
192,2023-12-12 07:30:07.635181,155.48,3,Display,Paid Search
194,2023-08-16 14:49:50.676403,120.02,2,Email,Paid Search
195,2023-09-27 22:24:21.853081,58.52,4,Email,Email
196,2023-04-25 17:47:41.037422,57.96,4,Content,Direct
197,2023-10-17 22:46:02.612853,105.37,4,Display,Email
199,2023-05-10 16:20:40.978718,82.83,5,Display,Social
201,2023-10-19 10:12:19.573705,121.31,7,Content,Direct
202,2023-01-19 06:22:18.359440,132.26,8,Display,Display
204,2023-05-16 06:58:08.255599,161.3,3,Social,Social
206,2023-09-14 01:41:13.941070,67.59,3,Content,Email
207,2023-04-27 05:58:39.063534,98.98,4,Direct,Content
208,2023-07-21 05:05:53.837488,120.11,4,Email,Paid Search
212,2023-05-12 19:20:11.089386,85.62,4,Display,Direct
213,2023-08-16 07:00:00.000000,81.3,2,Display,Paid Search
214,2023-04-26 04:46:40.181069,93.08,5,Display,Email
215,2023-07-27 22:00:22.743268,116.51,3,Email,Paid Search
218,2023-03-30 21:48:48.529845,90.96,8,Display,Direct
219,2023-03-02 17:25:53.185804,62.55,3,Display,Email
221,2023-05-06 02:23:16.275104,60.24,5,Display,Direct
222,2023-06-27 12:00:00.000000,31.03,1,Content,Content
225,2023-11-17 04:15:26.702865,104.48,4,Email,Direct
226,2023-04-21 08:18:48.292617,131.69,2,Email,Direct
228,2023-06-12 09:29:48.320647,70.03,2,Paid Search,Email
229,2023-06-01 07:43:24.977090,119.03,7,Display,Direct
232,2023-06-04 23:44:52.193090,103.71,4,Email,Content
233,2023-05-19 07:32:34.474226,79.09,8,Display,Content
235,2023-02-17 05:36:33.267930,73.49,3,Paid Search,Direct
237,2023-07-25 07:39:54.941424,87.03,5,Direct,Social
240,2023-12-30 05:13:50.126520,39.92,2,Display,Direct
241,2023-02-22 13:09:08.055360,70.25,3,Social,Paid Search
242,2023-11-23 05:18:59.684303,201.57,5,Display,Social
243,2023-10-08 02:34:44.455533,173.72,4,Social,Direct
244,2023-12-29 04:47:28.067790,82.06,3,Social,Email
246,2023-02-19 09:00:00.000000,40.59,1,Display,Display
248,2023-11-12 16:38:36.376117,74.83,4,Display,Paid Search
250,2023-09-11 13:54:51.961133,51.33,4,Paid Search,Direct
251,2023-05-13 14:39:26.917186,52.19,4,Display,Email
253,2023-05-02 10:01:33.711063,182.27,6,Display,Content
255,2023-12-03 18:08:59.586046,51.79,4,Display,Email
256,2023-03-03 05:15:40.186016,80.85,4,Paid Search,Email
257,2023-03-15 18:51:27.161992,85.54,4,Content,Social
258,2023-06-05 15:09:20.714750,110.46,2,Paid Search,Email
259,2023-09-09 04:50:33.656319,95.86,2,Paid Search,Content
260,2023-07-30 08:54:40.763804,89.38,8,Display,Email
261,2023-02-06 00:29:35.882046,93.92,7,Content,Paid Search
263,2023-06-08 03:26:23.869967,86.29,4,Content,Direct
266,2023-12-10 18:00:18.137406,93.64,5,Content,Paid Search
267,2023-11-17 21:41:08.128178,154.43,2,Content,Direct
268,2023-11-10 17:28:59.107946,82.97,8,Display,Paid Search
271,2023-03-06 11:25:13.208339,62.03,6,Display,Direct
272,2023-02-24 04:00:00.000000,61.34,1,Social,Social
273,2023-12-06 02:37:41.539331,53.68,3,Content,Email
279,2023-10-11 14:35:44.528200,26.77,2,Display,Paid Search
280,2023-02-18 09:43:28.814940,88.67,3,Display,Display
281,2023-04-14 16:19:03.004905,96.46,5,Display,Email
282,2023-11-07 08:00:33.520065,75.95,2,Paid Search,Email
283,2023-02-23 20:52:32.273297,98.32,2,Email,Display
288,2023-07-31 05:07:49.151762,93.8,2,Social,Direct
291,2023-04-20 01:01:37.730724,90.98,6,Email,Paid Search
292,2023-03-12 11:47:51.014524,108.73,3,Social,Direct
293,2023-06-16 04:34:56.777720,113.05,4,Display,Social
299,2023-05-18 04:55:35.480581,83.6,6,Direct,Paid Search
301,2023-08-18 03:02:03.456767,89.69,5,Display,Display
302,2023-04-09 22:16:09.852366,122.43,4,Content,Paid Search
303,2023-07-01 02:21:45.708939,60.22,3,Social,Direct
306,2023-06-10 03:37:44.907208,130.72,5,Content,Email
309,2023-12-17 06:00:00.000000,62.44,1,Email,Email
310,2023-11-17 18:20:11.586967,53.97,3,Paid Search,Email
311,2023-12-17 12:25:05.573834,66.77,4,Paid Search,Email
314,2023-05-29 18:33:38.878396,183.31,4,Content,Paid Search
315,2023-04-02 12:26:34.367836,56.2,6,Email,Direct
317,2023-12-09 21:13:51.365013,112.96,4,Display,Paid Search
321,2023-01-11 23:07:12.133045,97.75,4,Content,Paid Search
322,2023-03-27 06:39:47.607933,88.21,4,Social,Email
323,2023-08-10 01:00:38.903439,35.76,3,Direct,Direct
328,2023-11-22 19:19:31.524064,56.56,3,Content,Paid Search
330,2023-11-15 11:13:28.344624,119.82,4,Paid Search,Email
331,2023-03-26 18:44:11.021908,87.26,5,Display,Paid Search
332,2023-05-16 15:27:53.426358,120.73,3,Social,Paid Search
333,2023-09-06 10:17:58.987584,51.2,5,Social,Paid Search
335,2023-02-12 15:46:26.955364,61.46,3,Content,Email
336,2023-08-11 04:07:03.412936,91.74,6,Content,Social
337,2023-05-01 03:57:09.922120,133.83,4,Paid Search,Display
340,2023-04-22 20:03:53.575134,89.28,5,Content,Paid Search
341,2023-11-10 15:00:45.117207,62.22,2,Email,Paid Search
344,2023-03-29 22:00:09.438741,52.14,2,Social,Social
345,2023-03-31 05:46:15.166961,157.5,4,Social,Social
346,2023-06-12 19:39:45.392470,225.19,3,Social,Email
347,2023-06-05 10:09:27.391843,106.05,4,Content,Paid Search
348,2023-08-28 05:00:00.000000,142.9,1,Social,Social
349,2023-10-22 05:00:00.000000,130.91,1,Social,Social
352,2023-11-19 01:39:53.602511,156.71,5,Email,Direct
354,2023-05-07 14:46:16.526211,65.88,4,Display,Paid Search
357,2023-09-11 03:18:55.246145,82.08,3,Content,Paid Search
359,2023-10-09 14:02:02.723830,150.95,4,Paid Search,Paid Search
360,2023-08-15 18:40:22.099816,103.82,6,Content,Paid Search
361,2023-03-05 20:56:26.939459,122.37,2,Display,Social
362,2023-10-20 22:53:40.333289,117.24,8,Email,Email
364,2023-04-07 04:16:49.577686,101.47,5,Paid Search,Email
366,2024-01-02 11:33:33.153452,114.67,6,Content,Paid Search
368,2023-10-18 00:12:26.725243,98.39,3,Social,Direct
369,2023-07-03 07:53:53.815337,92.48,2,Display,Paid Search
370,2023-08-02 19:12:52.236458,110.77,3,Content,Paid Search
371,2023-08-21 17:29:19.191003,113.48,6,Social,Paid Search
373,2023-04-06 18:16:47.568219,106.86,5,Display,Paid Search
374,2023-12-17 21:50:05.755946,105.03,2,Content,Paid Search
376,2023-05-06 16:06:59.639680,71.93,2,Display,Display
378,2023-06-21 03:28:22.745340,155.28,5,Display,Paid Search
379,2023-04-30 18:00:00.000000,58.44,2,Paid Search,Email
382,2023-11-24 15:00:00.000000,45.07,1,Email,Email
384,2023-07-12 08:37:55.230878,80.77,3,Social,Email
386,2023-03-20 14:55:46.436786,100.97,3,Email,Direct
387,2023-09-13 09:58:42.185538,59.19,2,Direct,Display
388,2023-01-15 08:09:42.152481,57.78,4,Social,Paid Search
389,2023-08-08 02:00:00.000000,111.59,1,Display,Display
393,2023-02-13 15:00:00.000000,178.14,1,Content,Content
394,2023-05-24 09:39:21.464156,50.49,4,Display,Direct
395,2023-08-14 19:43:29.325128,121.87,5,Email,Email
398,2023-08-18 01:05:01.542188,106.1,6,Display,Email
399,2023-07-30 01:28:22.000224,91.28,3,Display,Paid Search
400,2023-02-01 14:50:46.876079,56.01,6,Display,Direct
403,2023-10-28 02:39:18.691616,215.66,4,Paid Search,Email
404,2023-10-31 11:00:00.000000,233.86,1,Content,Content
405,2023-02-14 06:23:07.186800,134.96,3,Display,Direct
406,2023-02-25 02:00:00.000000,111.24,1,Content,Content
407,2023-12-02 15:42:47.660464,254.78,5,Email,Paid Search
408,2023-02-22 13:00:00.000000,44.34,1,Content,Content
409,2023-07-13 23:11:13.463072,124.79,4,Paid Search,Social
410,2023-05-30 17:36:53.044254,68.95,5,Content,Paid Search
414,2023-12-24 19:39:56.305217,100.77,3,Content,Content
415,2023-08-19 01:37:29.238480,178.61,6,Display,Direct
416,2023-10-23 02:15:29.396634,183.96,4,Content,Social
417,2023-04-23 23:53:17.545901,106.59,3,Paid Search,Paid Search
418,2023-11-24 10:25:47.298297,79.42,5,Social,Email
420,2023-03-12 07:22:54.680876,109.34,2,Content,Email
421,2023-11-10 18:20:51.119388,102.08,2,Email,Content
422,2023-04-09 19:26:13.306053,83.96,2,Email,Direct
425,2023-11-06 06:36:51.704819,130.3,4,Content,Paid Search
427,2023-01-18 16:24:00.100883,33.36,2,Display,Email
430,2023-10-11 18:38:50.818529,66.35,2,Content,Email
433,2023-01-13 03:23:00.031201,140.68,3,Display,Paid Search
434,2023-07-14 01:58:44.198033,224.71,4,Direct,Paid Search
435,2023-09-04 09:37:30.205849,55.92,3,Display,Paid Search
436,2023-04-17 17:41:12.996885,64.17,4,Social,Direct
437,2023-07-07 22:44:05.325205,167.23,4,Social,Social
440,2023-04-04 12:14:16.175086,173.4,6,Display,Social
443,2023-12-29 13:02:09.325862,40.61,4,Display,Email
444,2023-06-21 20:12:52.718540,139.36,4,Content,Email
445,2023-07-22 01:46:00.739923,80.82,4,Paid Search,Direct
446,2023-04-15 05:00:00.000000,58.18,2,Display,Direct
448,2023-09-16 16:38:15.896168,182.96,5,Paid Search,Email
450,2023-03-06 18:09:51.825155,25.95,3,Display,Paid Search
454,2023-05-17 12:00:00.000000,61.85,1,Display,Display
456,2023-08-28 17:43:24.222580,88.02,3,Display,Direct
457,2023-05-23 20:02:22.150026,183.63,3,Paid Search,Content
458,2023-05-10 10:24:07.813400,67.39,3,Paid Search,Paid Search
459,2023-12-27 12:01:40.951218,105.01,3,Display,Paid Search
461,2023-10-05 07:00:00.000000,88.66,1,Display,Display
462,2023-11-06 17:29:38.375574,61.27,3,Display,Social
466,2023-02-12 07:38:26.690896,78.99,3,Display,Direct
468,2023-09-04 00:25:50.103435,179.39,3,Social,Email
469,2023-05-03 10:24:31.151790,86.34,4,Display,Email
471,2023-03-09 09:23:09.217039,26.65,2,Display,Paid Search
474,2023-11-30 05:05:05.410170,42.3,3,Content,Social
475,2023-01-11 14:34:55.498895,92.22,3,Paid Search,Email
476,2023-01-24 08:12:25.496172,72.62,3,Paid Search,Display
477,2023-10-12 00:57:49.755795,133.29,3,Social,Direct
478,2023-10-11 22:18:32.938852,157.3,8,Social,Email
479,2023-01-11 03:46:27.124801,57.47,4,Display,Paid Search
480,2023-08-02 02:23:40.692140,46.71,5,Display,Paid Search
481,2023-08-12 19:12:49.665352,68.35,3,Content,Direct
482,2023-10-24 03:10:26.638642,254.38,3,Content,Paid Search
483,2023-08-08 22:34:11.827871,51.76,5,Paid Search,Email
486,2023-11-01 05:40:40.188522,119.87,3,Display,Paid Search
487,2023-05-17 23:37:37.170460,100.94,6,Display,Email
488,2023-12-13 06:24:00.990276,154.03,2,Social,Direct
489,2023-05-13 04:04:09.546842,260.44,2,Display,Social
490,2023-05-03 07:00:00.000000,175.15,1,Email,Email
491,2023-01-11 10:32:40.788101,51.61,3,Display,Direct
493,2023-09-12 06:02:02.908665,53.78,4,Email,Social
494,2023-09-19 01:01:42.129490,165.07,5,Display,Paid Search
495,2023-12-21 11:03:32.935253,114.47,6,Display,Paid Search
496,2023-03-25 23:22:56.174134,114.68,2,Display,Paid Search
497,2023-02-07 19:37:13.271362,117.55,5,Display,Social
498,2023-10-03 21:26:27.262922,73.91,2,Paid Search,Direct
499,2023-07-05 09:57:35.513130,83.44,4,Content,Social
501,2023-01-04 11:03:23.671718,37.72,3,Email,Direct
502,2023-08-04 09:56:17.554283,128.03,3,Email,Content
503,2023-04-11 00:10:36.786858,92.76,5,Social,Paid Search
505,2023-03-24 03:41:32.352097,107.1,3,Display,Direct
506,2023-01-27 02:58:14.802677,138.28,8,Display,Paid Search
507,2023-03-19 14:26:09.852865,71.23,6,Display,Social
508,2023-11-30 06:21:39.461490,133.48,6,Content,Direct
513,2023-11-18 19:22:17.655874,44.14,3,Content,Paid Search
514,2023-06-07 14:00:00.000000,141.81,1,Display,Display
515,2023-10-05 10:09:59.415374,113.26,4,Display,Direct
516,2023-08-10 22:03:18.297513,92.46,4,Display,Direct
517,2023-04-20 08:45:03.921783,101.64,2,Content,Email
519,2023-12-11 03:48:57.257878,74.34,4,Display,Direct
520,2023-04-27 05:59:19.456856,84.62,5,Display,Paid Search
526,2023-01-31 17:02:19.041215,114.03,4,Display,Content
527,2023-04-28 22:06:47.326227,80.9,3,Content,Email
528,2023-10-05 01:06:35.944449,79.82,4,Display,Display
533,2023-05-29 12:57:19.351275,39.06,2,Social,Paid Search
534,2023-05-05 03:00:44.541842,91.94,3,Display,Direct
535,2023-03-19 13:04:15.745322,118.46,2,Content,Content
536,2023-09-05 01:16:06.409008,75.59,7,Display,Email
537,2023-05-05 11:16:33.713846,61.17,4,Display,Direct
538,2023-01-14 05:41:17.736467,67.33,2,Email,Paid Search
539,2023-11-26 18:46:15.445154,66.31,2,Content,Direct
540,2023-01-20 16:42:48.529086,50.65,4,Display,Paid Search
541,2023-04-20 02:45:53.372189,107.05,4,Paid Search,Social
545,2023-05-29 14:28:56.908039,70.52,4,Display,Email
550,2023-09-13 18:59:46.783331,123.55,4,Content,Direct
553,2023-07-03 03:19:18.650916,101.47,2,Display,Direct
554,2023-03-28 16:18:33.995028,109.93,3,Social,Direct
555,2023-09-16 01:53:22.765202,131.87,4,Content,Social
556,2023-09-20 13:30:40.499207,158.17,4,Display,Direct
557,2023-06-09 20:12:35.937930,97.86,7,Display,Paid Search
559,2023-03-16 14:53:59.919513,110.91,4,Email,Content
560,2023-01-14 05:38:47.602205,52.35,6,Display,Paid Search
561,2023-07-28 00:23:18.404155,259.4,2,Paid Search,Social
563,2023-07-02 15:37:31.627209,206.65,5,Display,Display
565,2023-07-22 01:37:08.954860,92.42,4,Display,Email
567,2023-02-17 07:41:19.046511,159.3,2,Display,Email
568,2023-03-07 23:13:57.765280,72.16,8,Content,Paid Search
569,2023-06-18 10:02:02.103478,27.29,3,Display,Paid Search
571,2023-01-22 15:31:49.981416,70.25,3,Direct,Content
573,2023-07-14 15:37:46.967959,60.55,7,Paid Search,Display
574,2023-09-08 05:01:49.971722,126.94,3,Content,Direct
577,2023-10-12 23:54:20.162185,169.34,3,Display,Paid Search
580,2023-11-13 06:31:16.374859,54.7,6,Social,Paid Search
581,2023-07-23 10:06:37.510981,78.54,2,Display,Email
582,2023-05-15 22:14:54.956102,101.65,2,Content,Email
584,2023-09-11 15:10:14.459645,42.86,3,Content,Direct
585,2023-08-04 08:17:08.675444,81.11,4,Display,Direct
587,2023-09-19 22:29:29.196328,73.36,3,Display,Email
590,2023-08-23 10:35:14.423156,148.85,5,Direct,Paid Search
591,2023-02-10 17:27:47.331242,87.9,3,Display,Paid Search
592,2023-03-12 05:08:37.063511,72.08,6,Display,Paid Search
593,2023-04-05 22:22:23.915168,64.31,3,Display,Email
596,2023-01-08 17:52:30.097641,100.65,3,Content,Direct
597,2023-12-17 18:00:00.000000,161.49,1,Display,Display
599,2023-04-17 12:11:57.131510,73.24,8,Display,Paid Search
600,2023-03-25 19:03:46.272360,157.97,5,Content,Direct
601,2023-08-20 20:46:19.874643,169.48,2,Display,Email
602,2023-09-23 23:55:37.689820,236.2,5,Paid Search,Email
604,2023-10-31 18:31:02.917950,66.51,3,Display,Paid Search
605,2024-01-04 20:04:06.518469,82.85,2,Display,Paid Search
608,2023-12-01 14:15:31.037041,80.72,3,Display,Email
609,2023-04-04 01:00:42.486359,118.56,5,Social,Direct
612,2023-01-06 08:10:25.144951,47.4,6,Display,Social
615,2023-07-02 08:30:27.777249,44.97,2,Display,Email
616,2023-11-07 20:16:21.170551,131.88,2,Content,Paid Search
618,2023-08-27 20:54:44.021239,153.11,5,Content,Direct
619,2023-03-12 22:45:57.531272,86.78,6,Social,Social
624,2023-03-09 13:13:40.603449,169.25,3,Content,Social
627,2023-05-26 22:00:00.000000,139.55,1,Display,Display
628,2023-07-02 17:30:46.571353,78.82,2,Display,Paid Search
631,2023-04-08 15:21:39.815826,151.15,2,Email,Paid Search
632,2023-06-30 19:13:58.112812,102.46,3,Display,Email
633,2023-06-08 19:32:52.079266,117.19,3,Display,Direct
634,2023-03-21 05:48:55.601082,50.15,4,Display,Paid Search
635,2023-04-04 14:28:18.641093,83.72,4,Content,Direct
637,2023-07-12 03:44:24.164845,58.09,3,Display,Paid Search
639,2023-11-12 20:25:05.412427,81.8,2,Display,Email
640,2023-08-02 14:06:23.830778,105.19,5,Direct,Social
642,2023-06-18 10:44:53.565519,57.81,2,Display,Direct
643,2023-06-08 03:00:00.000000,95.89,1,Paid Search,Paid Search
644,2023-06-11 14:54:23.330607,49.96,2,Content,Direct
647,2023-09-19 03:47:25.279869,60.62,5,Social,Direct
649,2023-03-13 15:29:58.593675,91.56,3,Email,Paid Search
650,2023-02-16 16:23:30.699794,54.75,7,Paid Search,Email
651,2023-01-20 23:02:07.611699,101.98,3,Display,Paid Search
654,2023-07-15 02:52:22.236717,83.51,4,Paid Search,Direct
655,2023-03-24 07:18:37.544194,47.85,4,Paid Search,Email
656,2023-10-16 02:37:36.873749,52.82,4,Display,Email
657,2023-05-04 20:33:52.605102,295.75,2,Paid Search,Email
661,2023-07-06 05:00:56.884741,215.46,4,Display,Paid Search
663,2023-11-27 20:49:54.997395,142.69,3,Direct,Paid Search
664,2023-07-19 17:40:16.966114,70.96,4,Display,Paid Search
665,2023-11-06 07:07:33.045264,59.56,4,Paid Search,Paid Search
666,2023-02-16 08:44:46.065855,138.98,2,Paid Search,Display
667,2023-12-05 13:40:10.168926,38.8,3,Display,Display
668,2023-12-05 16:00:00.000000,98.08,1,Display,Display
669,2023-09-04 19:00:00.000000,109.45,1,Paid Search,Paid Search
670,2023-06-11 21:06:44.417503,89.79,4,Display,Direct
671,2023-08-27 00:33:57.210322,64.8,4,Display,Paid Search
672,2023-05-15 04:08:51.729586,175.22,3,Email,Social
674,2023-09-22 08:28:42.639435,35.5,5,Social,Paid Search
679,2023-05-14 23:26:49.713633,149.17,5,Content,Direct
680,2023-06-02 22:37:44.894866,49.14,3,Display,Paid Search
683,2023-05-23 12:32:00.919472,43.43,3,Content,Direct
685,2023-10-20 18:49:40.605670,63.07,4,Display,Direct
686,2023-07-12 15:00:00.000000,31.43,1,Content,Content
687,2023-12-02 06:32:39.047961,249.91,4,Display,Paid Search
689,2023-05-25 09:39:03.245325,78.83,3,Display,Paid Search
691,2023-05-07 05:02:42.622128,164.66,4,Content,Email
693,2023-04-21 16:52:55.905717,57.48,6,Email,Paid Search
695,2023-02-25 09:40:06.082939,137.66,4,Display,Paid Search
696,2023-02-03 23:00:00.000000,44.88,1,Display,Display
697,2023-08-06 18:38:52.253757,211.04,2,Display,Paid Search
698,2023-02-22 02:08:58.998957,109.96,3,Display,Paid Search
699,2024-01-03 05:49:21.699175,99.57,4,Content,Email
700,2023-07-03 09:49:55.537429,145.43,3,Content,Email
702,2023-04-06 22:42:15.051634,84.01,4,Direct,Paid Search
703,2023-12-23 18:40:55.832311,70.0,4,Email,Paid Search
704,2023-01-20 07:55:08.406972,279.11,4,Paid Search,Direct
705,2023-03-03 11:14:26.391850,48.86,2,Paid Search,Direct
706,2023-05-02 15:30:14.789898,111.04,3,Display,Paid Search
707,2023-04-05 20:45:53.490011,54.82,4,Display,Email
708,2023-12-10 16:25:10.995093,68.25,2,Content,Paid Search
710,2023-12-13 05:26:04.221458,60.28,3,Paid Search,Direct
712,2023-05-04 04:09:53.324285,26.38,5,Social,Paid Search
713,2023-07-25 04:06:05.932278,61.12,2,Email,Direct
715,2023-08-20 09:07:44.642525,135.02,3,Email,Paid Search
719,2023-09-25 00:49:49.892588,73.67,4,Social,Social
723,2023-10-11 14:30:51.939890,135.35,3,Paid Search,Direct
727,2023-04-29 12:34:18.741089,54.28,5,Paid Search,Direct
731,2023-05-12 18:06:03.241490,135.0,4,Paid Search,Content
732,2023-08-31 21:47:54.752844,273.7,3,Email,Email
735,2023-12-07 04:58:25.386141,204.14,3,Display,Paid Search
736,2023-04-21 01:49:13.270962,81.85,6,Paid Search,Direct
737,2023-05-07 08:39:29.966352,42.58,4,Email,Content
739,2023-10-17 09:13:47.083894,67.14,3,Email,Paid Search
740,2023-08-07 05:08:18.420968,66.03,7,Display,Paid Search
